fips,cases,deaths
20023,2,0
20025,1,0
20027,5,1
20029,4,0
20031,48,8
20035,3,1
20037,7,1
20041,2,0
20043,3,0
20045,50,0
20047,3,0
20051,8,0
20055,317,1
20057,675,0
20059,14,0
20061,12,0
20063,1,0
20067,4,0
20069,4,0
20073,3,0
20075,2,0
20077,1,0
20079,7,0
20081,7,0
20085,2,0
20087,9,0
20089,4,0
20091,464,40
20093,16,0
20097,1,0
20099,22,0
20103,356,4
20107,6,0
20111,218,1
20113,22,0
20115,5,1
20119,5,0
20121,5,0
20123,3,0
20125,17,2
20127,3,0
20129,3,0
20131,1,0
20133,3,0
20139,5,0
20141,2,0
20143,4,0
20147,1,0
20149,13,0
20151,1,0
20155,34,0
20157,4,0
20159,3,0
20161,46,0
20163,6,0
20169,21,2
20171,2,0
20173,402,9
20175,500,0
20177,117,5
20179,2,0
20181,4,0
20183,2,0
20185,1,0
20187,5,0
20189,9,0
20191,3,1
12001,267,5
12003,20,3
12005,72,3
20197,21,0
12007,46,2
12009,285,8
12011,4953,185
12013,8,0
20205,1,0
12015,236,19
20207,5,0
12017,99,11
20209,693,55
12019,273,15
12021,596,19
12023,58,2
12027,29,4
12029,7,0
12031,1012,20
12033,506,11
12035,133,2
12037,2,0
12039,94,0
53001,47,0
12041,6,0
12043,6,1
53003,18,2
12045,1,0
53005,430,41
53007,111,6
12047,6,0
12049,18,0
53009,18,0
12051,83,3
53011,359,21
12053,90,5
53013,1,0
12055,81,7
53015,45,0
12057,1124,23
53017,78,1
12059,10,0
53019,1,0
12061,90,7
53021,279,9
12063,14,0
53025,166,2
12065,28,2
53027,12,0
12067,1,0
12069,227,12
53029,172,9
12071,1020,43
53031,29,0
12073,218,3
53033,6310,448
12075,19,0
53035,151,2
53037,15,0
12077,3,0
12079,55,2
53039,17,3
12081,580,55
53041,29,3
12083,175,4
53043,2,0
12085,191,6
12086,12063,352
12087,79,3
53045,23,1
12089,56,0
53047,26,1
12091,153,4
53051,2,0
12093,11,0
53053,1554,51
12095,1384,33
53055,16,0
12097,479,7
53057,338,13
12099,2961,186
53059,3,0
12101,249,7
53061,2446,108
12103,729,37
53063,366,22
12105,483,23
53065,10,1
12107,106,1
53067,105,1
12109,208,4
53069,2,0
12111,247,22
53071,77,0
12113,154,7
53073,304,28
12115,352,42
53075,16,0
12117,379,8
53077,1237,49
12119,181,13
12121,130,14
12123,3,0
12125,4,0
12127,452,21
12129,23,1
12131,38,0
12133,12,0
04001,449,6
04003,39,0
04005,486,42
04007,13,0
04009,16,0
04011,2,0
04012,14,2
04013,3972,145
04015,117,10
04017,712,21
04019,1241,80
04021,397,11
04023,33,0
04025,79,2
04027,78,1
45001,31,0
45003,99,6
45005,10,1
45007,160,8
45009,10,0
45011,20,0
45013,263,11
45015,181,10
45017,7,1
45019,444,7
45021,17,0
45023,30,0
45025,51,1
45027,210,18
45029,27,4
45031,126,2
45033,52,0
45035,97,3
45037,29,1
45039,36,2
45041,304,14
45043,43,3
45045,722,37
45047,49,0
45049,23,0
45051,215,15
45053,19,1
45055,237,10
45057,96,4
45059,39,1
45061,63,7
45063,361,15
45065,6,2
45067,34,2
45069,45,0
45071,26,1
45073,24,0
45075,72,1
45077,54,1
45079,899,33
45081,47,0
45083,287,9
45085,228,11
45087,26,0
45089,67,0
45091,210,3
37001,99,1
37003,4,0
37005,3,0
37007,25,0
37009,5,0
37013,21,0
37015,44,2
37017,21,0
